date,lastSyncTime,deepSleepTime,shallowSleepTime,wakeTime,start,stop
2020-05-27,1590669223,0,0,0,1590634800,1590634800
2020-05-28,1590729083,46,542,0,1590629820,1590665100
2020-05-29,1590814631,38,263,0,1590733740,1590751800
2020-05-30,1590900852,94,386,0,1590805440,1590834240
2020-05-31,1590981061,46,509,3,1590900240,1590933720
2020-06-01,1591106956,87,341,0,1590984420,1591010100
2020-06-02,1591185803,61,448,0,1591067340,1591097880
2020-06-03,1591270587,50,523,0,1591148700,1591183080
2020-06-04,1591360489,41,472,0,1591239780,1591270560
2020-06-05,1591416698,96,458,0,1591323660,1591356900
2020-06-06,1591500301,81,328,0,1591421340,1591445880
2020-06-07,1591585729,84,293,0,1591513020,1591535640
2020-06-08,1591707195,28,541,80,1591585500,1591624440
2020-06-09,1591787740,28,534,0,1591669320,1591703040
2020-06-10,1591874139,50,480,0,1591756080,1591787880
2020-06-11,1591966940,75,423,0,1591844160,1591874040
2020-06-12,1592018642,97,464,0,1591926540,1591960200
2020-06-13,1592234841,100,487,0,1592018040,1592053260
2020-06-14,1592234841,90,496,2,1592111400,1592146680
2020-06-15,1592261161,167,470,0,1592195340,1592233560
2020-06-18,1592536980,45,467,0,1592449260,1592479980
2020-06-19,1592623611,104,385,3,1592534760,1592564280
2020-06-20,1592774707,84,525,0,1592622720,1592659260
2020-06-21,1592801735,75,353,0,1592722980,1592748660
2020-06-22,1592888321,39,455,6,1592795040,1592825040
2020-06-23,1593045627,101,423,2,1592880000,1592911560
2020-06-24,1593084742,43,473,0,1592966700,1592997660
2020-06-25,1593169902,90,439,0,1593053100,1593084840
2020-06-26,1593256316,147,448,16,1593134580,1593171240
2020-06-27,1593380150,67,538,3,1593230040,1593266520
2020-06-28,1593429323,90,360,5,1593334500,1593361800
2020-06-29,1593525537,110,377,0,1593400260,1593429480
2020-06-30,1593573840,53,490,0,1593484680,1593517260
2020-07-01,1593689704,78,413,0,1593574020,1593603480
2020-07-02,1593745683,83,418,0,1593656400,1593686460
2020-07-03,1593965881,138,343,0,1593747480,1593776340
2020-07-04,1593965881,84,348,5,1593831480,1593857700
2020-07-05,1594121152,108,344,0,1593931200,1593958320
2020-07-06,1594121152,51,482,0,1594002600,1594034580
2020-07-07,1594178645,122,374,0,1594091520,1594121280
2020-07-08,1594319313,128,425,0,1594174620,1594207800
2020-07-09,1594390325,92,420,3,1594263660,1594294560
2020-07-10,1594436881,78,561,0,1594353720,1594392060
2020-07-11,1594523281,0,0,0,1594522800,1594522800
2020-07-12,1594610740,29,373,3,1594543080,1594567380
2020-07-13,1594729844,138,349,0,1594610880,1594640100
2020-07-14,1594811792,52,371,0,1594699620,1594725000
2020-07-15,1594869602,118,418,0,1594780140,1594812300
2020-07-16,1595084161,101,375,0,1594869720,1594898280
2020-07-17,1595084161,130,399,0,1594953600,1594985340
2020-07-18,1595129101,64,676,42,1595037060,1595083980
2020-07-19,1595244879,55,336,0,1595143200,1595166660
2020-07-20,1595301063,83,453,0,1595212620,1595244780
2020-07-21,1595424734,83,387,2,1595302020,1595330340
2020-07-22,1595473862,101,423,0,1595384100,1595415540
2020-07-23,1595632687,59,492,17,1595469060,1595503140
2020-07-24,1595646660,91,409,2,1595559900,1595590020
2020-07-25,1595787204,84,498,0,1595649960,1595684880
2020-07-26,1595849445,60,415,20,1595743200,1595772900
2020-07-27,1595906941,79,384,0,1595821620,1595849400
2020-07-28,1595993341,90,438,0,1595904540,1595936220
2020-07-29,1596079142,62,447,0,1595992260,1596022800
2020-07-30,1596165541,92,399,0,1596080040,1596109500
2020-07-31,1596251762,113,388,0,1596165660,1596195720
2020-08-01,1596378825,32,468,0,1596255840,1596285840
2020-08-02,1596453106,85,455,0,1596346800,1596379200
2020-08-03,1596550577,95,368,3,1596426240,1596454200
2020-08-04,1596599262,83,433,0,1596509880,1596540840
2020-08-05,1596713860,68,371,0,1596599760,1596626100
2020-08-06,1596846012,47,461,17,1596682560,1596714060
2020-08-07,1597146888,93,425,0,1596768360,1596799440
2020-08-08,1597146888,48,395,0,1596855000,1596881580
2020-08-09,1597146888,148,291,2,1596958440,1596984900
2020-08-10,1597146888,111,392,0,1597029180,1597059360
2020-08-11,1597201622,145,484,2,1597108980,1597146840
2020-08-12,1597288021,49,499,0,1597199400,1597232280
2020-08-13,1597404299,57,393,0,1597291800,1597318800
2020-08-14,1597540890,103,414,21,1597372860,1597405140
2020-08-15,1597546983,65,487,0,1597465680,1597498800
2020-08-16,1597750242,73,489,2,1597556580,1597590420
2020-08-17,1597750242,69,609,20,1597638780,1597680660
2020-08-18,1597861786,66,598,0,1597711020,1597750860
2020-08-19,1597923919,54,381,0,1597811040,1597837140
2020-08-20,1598010018,97,377,0,1597895280,1597923720
2020-08-21,1598104505,102,458,19,1597975800,1598010540
2020-08-22,1598191273,51,524,22,1598067300,1598103120
2020-08-23,1598269432,62,379,0,1598162460,1598188920
2020-08-24,1598355699,36,500,0,1598237220,1598269380
2020-08-25,1598442019,74,325,1,1598331660,1598355660
2020-08-26,1598528484,22,504,2,1598410500,1598442180
2020-08-27,1598613238,85,442,0,1598497560,1598529180
2020-08-28,1598727805,38,469,0,1598582640,1598613060
2020-08-29,1598840743,32,457,0,1598673780,1598703120
2020-08-30,1598843282,145,338,9,1598773680,1598803200
2020-08-31,1598929441,150,354,0,1598844300,1598874540
2020-09-01,1599015843,93,433,0,1598929620,1598961180
2020-09-02,1599102242,74,406,9,1599018060,1599047400
2020-09-03,1599188641,72,483,0,1599100860,1599134160
2020-09-04,1599274861,130,413,0,1599187560,1599220140
2020-09-05,1599362821,93,277,0,1599278280,1599300480
2020-09-06,1599449222,117,444,14,1599372000,1599406500
2020-09-07,1599535141,86,464,0,1599446520,1599479520
2020-09-08,1599621541,83,445,2,1599533880,1599565680
2020-09-09,1599707032,75,469,0,1599619980,1599652620
2020-09-10,1599794341,99,429,0,1599707220,1599738900
2020-09-11,1599880741,98,388,0,1599795780,1599824940
2020-09-12,1599967742,130,379,0,1599887940,1599918480
2020-09-13,1600054141,82,457,0,1599976200,1600008540
2020-09-14,1600140541,105,412,0,1600053060,1600084080
2020-09-15,1600225261,49,503,0,1600137360,1600170480
2020-09-16,1600312261,81,402,0,1600228140,1600257120
2020-09-17,1600399262,48,476,2,1600311720,1600343280
2020-09-18,1600484762,81,435,0,1600398360,1600429320
2020-09-19,1600571642,113,369,0,1600493820,1600522740
2020-09-20,1600688907,154,399,2,1600576440,1600609740
2020-09-21,1600744860,101,431,0,1600657080,1600689000
2020-09-22,1600831261,111,376,0,1600746420,1600775640
2020-09-23,1600917487,106,323,0,1600833960,1600859700
2020-09-24,1601004060,77,373,0,1600919100,1600946100
2020-09-25,1601090823,108,364,2,1601004660,1601033100
2020-09-26,1601296408,68,402,0,1601093100,1601121300
2020-09-27,1601296408,95,389,0,1601187840,1601216880
2020-09-28,1601380122,87,446,0,1601261580,1601293560
2020-09-29,1601435762,84,357,0,1601353440,1601379900
2020-09-30,1601522101,103,338,28,1601438340,1601466480
2020-10-01,1601608501,65,368,0,1601526780,1601552760
2020-10-02,1601734893,100,385,0,1601610180,1601639280
2020-10-03,1601781301,91,389,0,1601705640,1601734440
2020-10-04,1601870559,75,333,2,1601790960,1601815560
2020-10-05,1601954319,66,537,29,1601860560,1601898480
2020-10-06,1602040742,117,406,0,1601953740,1601985120
2020-10-07,1602127142,54,416,0,1602042840,1602071040
2020-10-08,1602213542,58,301,0,1602136320,1602157860
2020-10-09,1602331216,79,319,0,1602219780,1602243660
2020-10-10,1602427038,83,399,0,1602301560,1602330480
2020-10-11,1602472021,57,417,0,1602398220,1602426660
2020-10-12,1602558421,35,493,14,1602479520,1602512040
2020-10-13,1602644820,52,402,0,1602562140,1602589380
2020-10-14,1602762968,48,350,15,1602651300,1602676080
2020-10-15,1602847731,88,382,0,1602734400,1602762600
2020-10-16,1602934069,45,442,0,1602819660,1602848880
2020-10-17,1603028031,35,346,0,1602911160,1602934020
2020-10-18,1603108105,55,463,0,1602996720,1603027800
2020-10-19,1603192349,81,503,37,1603070700,1603107960
2020-10-20,1603280732,59,406,0,1603166580,1603194480
2020-10-21,1603367735,134,348,18,1603250940,1603280940
2020-10-22,1603453656,82,309,2,1603343820,1603367400
2020-10-23,1603514804,89,283,0,1603431300,1603453620
2020-10-24,1603636745,128,313,0,1603515840,1603542300
2020-10-25,1603682941,28,329,2,1603615920,1603637460
2020-10-26,1603799342,142,290,0,1603686960,1603712880
2020-10-27,1603885898,50,430,0,1603770360,1603799160
2020-10-28,1603972107,96,454,0,1603852860,1603885860
2020-10-29,1604028542,90,373,0,1603944600,1603972380
2020-10-30,1604172565,107,350,0,1604031240,1604058660
2020-10-31,1604318149,79,467,0,1604121660,1604154420
2020-11-01,1604318149,34,483,0,1604209860,1604240880
2020-11-02,1604404128,34,470,0,1604287860,1604318100
2020-11-03,1604459282,62,370,0,1604378340,1604404260
2020-11-04,1604863328,79,345,0,1604461860,1604487300
2020-11-05,1604863328,78,400,0,1604548440,1604577120
2020-11-06,1604863328,88,341,0,1604633760,1604659500
2020-11-07,1604863328,56,461,0,1604718000,1604749020
2020-11-08,1604924941,77,307,35,1604822580,1604847720
2020-11-09,1605009018,13,514,0,1604890980,1604922600
2020-11-10,1605095303,101,385,0,1604979720,1605008880
2020-11-11,1605268295,92,400,14,1605065100,1605095460
2020-11-12,1605268295,52,445,0,1605151500,1605181320
2020-11-13,1605351820,66,390,0,1605240720,1605268080
2020-11-14,1605527346,57,374,0,1605327540,1605353400
2020-11-15,1605527346,58,373,0,1605426240,1605452100
2020-11-16,1605619063,87,448,0,1605494880,1605526980
2020-11-17,1605699832,87,356,63,1605583500,1605613860
2020-11-18,1605791874,73,440,0,1605669300,1605700080
2020-11-19,1605871733,74,444,0,1605755400,1605786480
2020-11-20,1605963576,62,408,20,1605842280,1605871680
2020-11-21,1605999240,122,285,0,1605937980,1605962400
2020-11-22,1606142128,87,262,0,1606034100,1606055040
2020-11-23,1606221755,71,465,0,1606109340,1606141500
2020-11-24,1606304966,52,397,55,1606188120,1606218360
2020-11-25,1606425117,47,405,0,1606277760,1606304880
2020-11-26,1606500641,72,386,0,1606363680,1606391160
2020-11-27,1606533242,83,377,0,1606450080,1606477680
2020-11-28,1606623520,80,264,0,1606550340,1606570980
2020-11-29,1606706040,73,464,0,1606623720,1606655940
2020-11-30,1606792442,100,353,0,1606709520,1606736700
2020-12-01,1606840171,44,391,14,1606795620,1606822560
